,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,TOTAL,De 0 a 29 días,De 1 mes a 2 meses 29 días,De 3 meses a 5 meses 29 días,De 6 meses a 11 meses 29 días,De 1 a 2 años,Gestantes,Pueblos Originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna
7380,Consulta de Lactancia - Otras consultas de Lactancia Materna,9,109316,09600287,13,13301,8,1,4,3,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7381,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,9,109316,09600289,13,13301,4,0,2,1,1,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7382,Consulta de Lactancia por profesional  - Matrona/ón,9,109316,04040424,13,13301,5,5,0,0,0,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7383,Consulta de Lactancia por profesional  - Enfermera/o,9,109316,04040425,13,13301,41,5,20,12,4,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7384,Consulta de Lactancia - Consulta Lactancia Materna de alerta,9,109316,04040420,13,13301,11,6,1,3,1,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7385,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,9,109316,04040421,13,13301,22,4,6,9,3,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7386,Consulta de Lactancia - Otras consultas de Lactancia Materna,9,109316,09600287,13,13301,10,0,5,2,3,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7387,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,9,109316,09600289,13,13301,5,1,0,2,2,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7388,Consulta de Lactancia por profesional  - Enfermera/o,9,109316,04040425,13,13301,33,5,7,14,7,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7389,Consulta de Lactancia - Consulta Lactancia Materna de alerta,9,109316,04040420,13,13301,15,7,5,2,1,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
