,Mes,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,1° mes,3° mes,6° mes,nombre_ss,nombre_establecimiento,nombre_comuna,Prestación,codigo_deis_establecimiento,codigo_deis_comuna,codigo_deis_servicio
121,5,14,114303,A0200001,13,13110,28,33,26,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Bellavista,La Florida,MENORES CONTROLADOS,114303,13110,14
122,1,9,109715,A0200001,13,13125,,5,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Pucara de Lasana,Quilicura,MENORES CONTROLADOS,109715,13125,09
123,2,9,109303,A0200002,13,13127,8,5,12,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Quinta Bella,Recoleta,LACTANCIA MATERNA EXCLUSIVA,109303,13127,09
124,2,9,109303,A0200001,13,13127,16,12,17,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Quinta Bella,Recoleta,MENORES CONTROLADOS,109303,13127,09
125,2,12,112307,A0200002,13,13115,11,9,8,Servicio de Salud Metropolitano Oriente,Centro de Salud Familiar Lo Barnechea,Lo Barnechea,LACTANCIA MATERNA EXCLUSIVA,112307,13115,12
126,2,12,112307,A0200001,13,13115,19,19,21,Servicio de Salud Metropolitano Oriente,Centro de Salud Familiar Lo Barnechea,Lo Barnechea,MENORES CONTROLADOS,112307,13115,12
127,3,12,112302,A0200002,13,13123,2,3,2,Servicio de Salud Metropolitano Oriente,Centro de Salud Familiar Dr. Alfonso Leng,Providencia,LACTANCIA MATERNA EXCLUSIVA,112302,13123,12
128,3,12,112302,A0200001,13,13123,5,5,3,Servicio de Salud Metropolitano Oriente,Centro de Salud Familiar Dr. Alfonso Leng,Providencia,MENORES CONTROLADOS,112302,13123,12
129,4,14,114334,A0200002,13,13110,7,5,6,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar José Alvo,La Florida,LACTANCIA MATERNA EXCLUSIVA,114334,13110,14
130,2,14,114334,A0200002,13,13110,13,9,5,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar José Alvo,La Florida,LACTANCIA MATERNA EXCLUSIVA,114334,13110,14
131,2,14,114334,A0200001,13,13110,23,13,12,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar José Alvo,La Florida,MENORES CONTROLADOS,114334,13110,14
