,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Maternidad,Neonatología,Pueblos originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna
714,RN egresados con lactancia mixta al alta,10,110130,24311026,13,13601,1,3,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
715,RN egresados con madres acogidas a Ley 21.155,10,110130,29101772,13,13601,1,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
716,RN egresados solo fórmula por protección o madre grave,10,110130,24311028,13,13601,5,1,0,1,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
717,Total de recién nacidos/as egresados/as,10,110130,24200134,13,13601,52,4,0,7,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
718,Total de recién nacidos/as egresados/as,10,110130,24200134,13,13601,58,4,0,5,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
719,RN egresados con LME durante hospitalización y al alta,10,110130,24300103,13,13601,49,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
720,RN egresados que recuperaron LME al alta,10,110130,24311025,13,13601,2,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
721,RN egresados con lactancia mixta al alta,10,110130,24311026,13,13601,1,3,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
722,RN egresados con madres acogidas a Ley 21.155,10,110130,29101772,13,13601,1,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
723,RN egresados solo fórmula por protección o madre grave,10,110130,24311028,13,13601,0,1,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
724,Total de recién nacidos/as egresados/as,10,110130,24200134,13,13601,67,7,0,7,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
725,RN egresados que recuperaron LME al alta,10,110130,24311025,13,13601,3,2,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
726,RN egresados con lactancia mixta al alta,10,110130,24311026,13,13601,2,4,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
727,RN egresados con madres acogidas a Ley 21.155,10,110130,29101772,13,13601,1,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
728,RN egresados solo fórmula por protección o madre grave,10,110130,24311028,13,13601,2,1,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
729,RN egresados solo fórmula por protección o madre grave,10,110130,24311028,13,13601,0,1,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
730,RN egresados con LME durante hospitalización y al alta,10,110130,24300103,13,13601,48,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
731,RN egresados que recuperaron LME al alta,10,110130,24311025,13,13601,2,0,0,1,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
732,Total de recién nacidos/as egresados/as,10,110130,24200134,13,13601,70,2,2,17,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
733,RN egresados con LME durante hospitalización y al alta,10,110130,24300103,13,13601,59,0,2,15,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
734,RN egresados que recuperaron LME al alta,10,110130,24311025,13,13601,2,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
735,RN egresados con lactancia mixta al alta,10,110130,24311026,13,13601,8,2,0,2,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
736,RN egresados con madres acogidas a Ley 21.155,10,110130,29101772,13,13601,1,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
737,RN egresados que recuperaron LME al alta,10,110130,24311025,13,13601,0,2,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
738,RN egresados con lactancia mixta al alta,10,110130,24311026,13,13601,6,0,0,1,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
739,RN egresados con madres acogidas a Ley 21.155,10,110130,29101772,13,13601,1,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
740,RN egresados con madres acogidas a Ley 21.155,10,110130,29101772,13,13601,1,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
741,Total de recién nacidos/as egresados/as,10,110130,24200134,13,13601,62,6,0,5,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
742,RN egresados con LME durante hospitalización y al alta,10,110130,24300103,13,13601,58,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
743,RN egresados que recuperaron LME al alta,10,110130,24311025,13,13601,1,3,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
744,RN egresados con lactancia mixta al alta,10,110130,24311026,13,13601,2,2,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
745,Total de recién nacidos/as egresados/as,10,110130,24200134,13,13601,65,6,1,6,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
746,RN egresados con LME durante hospitalización y al alta,10,110130,24300103,13,13601,59,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
747,RN egresados que recuperaron LME al alta,10,110130,24311025,13,13601,2,,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
748,RN egresados con lactancia mixta al alta,10,110130,24311026,13,13601,3,6,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
749,RN egresados solo fórmula por protección o madre grave,10,110130,24311028,13,13601,1,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
750,Total de recién nacidos/as egresados/as,10,110130,24200134,13,13601,66,1,1,13,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
751,RN egresados con LME durante hospitalización y al alta,10,110130,24300103,13,13601,55,0,0,9,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
752,RN egresados con lactancia mixta al alta,10,110130,24311026,13,13601,9,1,0,3,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
753,RN egresados con madres acogidas a Ley 21.155,10,110130,29101772,13,13601,2,0,0,1,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
754,RN egresados solo fórmula por protección o madre grave,10,110130,24311028,13,13601,1,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
755,Total de recién nacidos/as egresados/as,10,110130,24200134,13,13601,53,2,0,9,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
756,RN egresados con lactancia mixta al alta,10,110130,24311026,13,13601,4,0,0,1,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
757,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110130,24311027,13,13601,1,1,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
758,Total de recién nacidos/as egresados/as,10,110130,24200134,13,13601,66,5,0,5,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
759,RN egresados con LME durante hospitalización y al alta,10,110130,24300103,13,13601,54,0,0,4,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
760,RN egresados que recuperaron LME al alta,10,110130,24311025,13,13601,7,4,0,4,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
761,RN egresados con LME durante hospitalización y al alta,10,110130,24300103,13,13601,43,0,0,8,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
762,Total de recién nacidos/as egresados/as,10,110130,24200134,13,13601,70,8,4,8,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
763,RN egresados con LME durante hospitalización y al alta,10,110130,24300103,13,13601,62,1,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
764,RN egresados con LME durante hospitalización y al alta,10,110130,24300103,13,13601,58,0,0,10,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
765,RN egresados que recuperaron LME al alta,10,110130,24311025,13,13601,0,1,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
766,RN egresados con lactancia mixta al alta,10,110130,24311026,13,13601,6,2,0,1,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
767,RN egresados con madres acogidas a Ley 21.155,10,110130,29101772,13,13601,1,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
768,RN egresados solo fórmula por protección o madre grave,10,110130,24311028,13,13601,0,1,0,0,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
769,Total de recién nacidos/as egresados/as,10,110130,24200134,13,13601,65,4,1,11,Servicio de Salud Metropolitano Occidente,Hospital Adalberto Steeger (Talagante),Talagante
770,Total de recién nacidos/as egresados/as,10,110140,24200134,13,13605,5,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
771,RN egresados con LME durante hospitalización y al alta,10,110140,24300103,13,13605,4,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
772,RN egresados con lactancia mixta al alta,10,110140,24311026,13,13605,1,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
773,RN egresados que recuperaron LME al alta,10,110140,24311025,13,13605,1,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
774,Total de recién nacidos/as egresados/as,10,110140,24200134,13,13605,4,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
775,RN egresados con LME durante hospitalización y al alta,10,110140,24300103,13,13605,3,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
776,RN egresados con lactancia mixta al alta,10,110140,24311026,13,13605,1,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
777,Total de recién nacidos/as egresados/as,10,110140,24200134,13,13605,4,0,0,1,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
778,RN egresados con LME durante hospitalización y al alta,10,110140,24300103,13,13605,3,0,0,1,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
779,Total de recién nacidos/as egresados/as,10,110140,24200134,13,13605,8,,0,1,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
780,RN egresados con LME durante hospitalización y al alta,10,110140,24300103,13,13605,7,,0,0,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
781,Total de recién nacidos/as egresados/as,10,110140,24200134,13,13605,3,0,0,1,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
782,RN egresados con LME durante hospitalización y al alta,10,110140,24300103,13,13605,3,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
783,Total de recién nacidos/as egresados/as,10,110140,24200134,13,13605,7,0,1,0,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
784,RN egresados con LME durante hospitalización y al alta,10,110140,24300103,13,13605,6,0,1,0,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
785,RN egresados con lactancia mixta al alta,10,110140,24311026,13,13605,1,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
786,RN egresados solo fórmula por protección o madre grave,10,110140,24311028,13,13605,1,,0,0,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
787,RN egresados con LME durante hospitalización y al alta,10,110140,24300103,13,13605,7,0,0,3,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
788,RN egresados con LME durante hospitalización y al alta,10,110140,24300103,13,13605,5,,0,2,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
789,Total de recién nacidos/as egresados/as,10,110140,24200134,13,13605,6,,0,2,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
790,Total de recién nacidos/as egresados/as,10,110140,24200134,13,13605,7,0,0,3,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
791,Total de recién nacidos/as egresados/as,10,110140,24200134,13,13605,6,0,0,1,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
792,RN egresados con LME durante hospitalización y al alta,10,110140,24300103,13,13605,6,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
793,Total de recién nacidos/as egresados/as,10,110140,24200134,13,13605,3,0,0,3,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
794,RN egresados con LME durante hospitalización y al alta,10,110140,24300103,13,13605,3,0,0,3,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
795,Total de recién nacidos/as egresados/as,10,110140,24200134,13,13605,2,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
796,RN egresados con LME durante hospitalización y al alta,10,110140,24300103,13,13605,2,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
797,Total de recién nacidos/as egresados/as,10,110140,24200134,13,13605,4,,0,1,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
798,RN egresados con LME durante hospitalización y al alta,10,110140,24300103,13,13605,4,,0,0,Servicio de Salud Metropolitano Occidente,Hospital de Peñaflor,Peñaflor
799,Total de recién nacidos/as egresados/as,13,113180,24200134,13,13401,87,1,0,30,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
800,RN egresados con LME durante hospitalización y al alta,13,113180,24300103,13,13401,80,0,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
801,Total de recién nacidos/as egresados/as,13,113180,24200134,13,13401,93,46,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
802,RN egresados con LME durante hospitalización y al alta,13,113180,24300103,13,13401,80,0,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
803,RN egresados que recuperaron LME al alta,13,113180,24311025,13,13401,87,11,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
804,Total de recién nacidos/as egresados/as,13,113180,24200134,13,13401,107,2,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
805,RN egresados que recuperaron LME al alta,13,113180,24311025,13,13401,88,0,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
806,RN egresados con madres serología positiva (VIH),13,113180,29101770,13,13401,0,1,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
807,RN egresados solo fórmula por protección o madre grave,13,113180,24311028,13,13401,0,2,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
808,Total de recién nacidos/as egresados/as,13,113180,24200134,13,13401,99,51,0,13,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
809,RN egresados con LME durante hospitalización y al alta,13,113180,24300103,13,13401,88,0,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
810,RN egresados que recuperaron LME al alta,13,113180,24311025,13,13401,1,2,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
811,RN egresados con lactancia mixta al alta,13,113180,24311026,13,13401,11,48,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
812,Total de recién nacidos/as egresados/as,13,113180,24200134,13,13401,48,31,0,9,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
813,RN egresados con LME durante hospitalización y al alta,13,113180,24300103,13,13401,40,0,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
814,RN egresados que recuperaron LME al alta,13,113180,24311025,13,13401,1,4,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
815,RN egresados con lactancia mixta al alta,13,113180,24311026,13,13401,8,25,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
816,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),13,113180,24311027,13,13401,0,3,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
817,RN egresados solo fórmula por protección o madre grave,13,113180,24311028,13,13401,0,1,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
818,Total de recién nacidos/as egresados/as,13,113180,24200134,13,13401,95,43,0,5,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
819,RN egresados con LME durante hospitalización y al alta,13,113180,24300103,13,13401,81,4,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
820,RN egresados que recuperaron LME al alta,13,113180,24311025,13,13401,5,1,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
821,RN egresados con lactancia mixta al alta,13,113180,24311026,13,13401,5,38,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
822,Total de recién nacidos/as egresados/as,13,113180,24200134,13,13401,89,36,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
823,RN egresados con LME durante hospitalización y al alta,13,113180,24300103,13,13401,80,0,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
824,RN egresados con lactancia mixta al alta,13,113180,24311026,13,13401,6,27,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
825,RN egresados solo fórmula por protección o madre grave,13,113180,24311028,13,13401,0,5,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
826,Total de recién nacidos/as egresados/as,13,113180,24200134,13,13401,95,45,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
827,RN egresados con LME durante hospitalización y al alta,13,113180,24300103,13,13401,85,0,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
828,RN egresados con lactancia mixta al alta,13,113180,24311026,13,13401,5,38,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
829,RN egresados solo fórmula por protección o madre grave,13,113180,24311028,13,13401,0,5,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
830,Total de recién nacidos/as egresados/as,13,113180,24200134,13,13401,62,33,0,4,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
831,RN egresados con LME durante hospitalización y al alta,13,113180,24300103,13,13401,49,0,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
832,RN egresados que recuperaron LME al alta,13,113180,24311025,13,13401,1,3,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
833,RN egresados con lactancia mixta al alta,13,113180,24311026,13,13401,36,28,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
834,RN egresados solo fórmula por protección o madre grave,13,113180,24311028,13,13401,0,2,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
835,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),13,113180,24311027,13,13401,0,5,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
836,RN egresados con madres serología positiva (VIH),13,113180,29101770,13,13401,0,1,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
837,Total de recién nacidos/as egresados/as,13,113180,24200134,13,13401,91,54,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
838,RN egresados con LME durante hospitalización y al alta,13,113180,24300103,13,13401,85,6,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
839,RN egresados que recuperaron LME al alta,13,113180,24311025,13,13401,0,1,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
840,RN egresados con lactancia mixta al alta,13,113180,24311026,13,13401,6,46,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
841,Total de recién nacidos/as egresados/as,13,113180,24200134,13,13401,125,45,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
842,RN egresados con LME durante hospitalización y al alta,13,113180,24300103,13,13401,110,0,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
843,RN egresados que recuperaron LME al alta,13,113180,24311025,13,13401,118,4,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
844,RN egresados con madres acogidas a Ley 21.155,13,113180,29101772,13,13401,1,0,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
845,RN egresados solo fórmula por protección o madre grave,13,113180,24311028,13,13401,0,5,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
846,Total de recién nacidos/as egresados/as,13,113180,24200134,13,13401,89,36,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
847,RN egresados con LME durante hospitalización y al alta,13,113180,24300103,13,13401,80,0,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
848,RN egresados con lactancia mixta al alta,13,113180,24311026,13,13401,6,27,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
849,RN egresados solo fórmula por protección o madre grave,13,113180,24311028,13,13401,0,1,0,0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
850,Total de recién nacidos/as egresados/as,13,113190,24200134,13,13401,128,13,1,11,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
851,RN egresados con LME durante hospitalización y al alta,13,113190,24300103,13,13401,128,0,1,11,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
852,RN egresados con madres serología positiva (VIH),13,113190,29101770,13,13401,1,0,0,0,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
853,Total de recién nacidos/as egresados/as,13,113190,24200134,13,13401,82,3,0,5,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
854,RN egresados con LME durante hospitalización y al alta,13,113190,24300103,13,13401,66,0,0,3,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
855,RN egresados con lactancia mixta al alta,13,113190,24311026,13,13401,5,0,0,1,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
856,Total de recién nacidos/as egresados/as,13,113190,24200134,13,13401,43,9,4,5,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
857,RN egresados con LME durante hospitalización y al alta,13,113190,24300103,13,13401,31,0,0,0,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
858,RN egresados con lactancia mixta al alta,13,113190,24311026,13,13401,12,0,0,0,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
859,Total de recién nacidos/as egresados/as,13,113190,24200134,13,13401,81,2,0,3,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
860,Total de recién nacidos/as egresados/as,13,113190,24200134,13,13401,135,11,3,2,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
861,RN egresados con LME durante hospitalización y al alta,13,113190,24300103,13,13401,133,0,3,12,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
862,RN egresados con lactancia mixta al alta,13,113190,24311026,13,13401,2,0,0,0,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
863,RN egresados con LME durante hospitalización y al alta,13,113190,24300103,13,13401,79,0,0,3,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
864,RN egresados con lactancia mixta al alta,13,113190,24311026,13,13401,2,0,0,0,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
865,Total de recién nacidos/as egresados/as,13,113190,24200134,13,13401,75,8,0,7,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
866,RN egresados con LME durante hospitalización y al alta,13,113190,24300103,13,13401,65,0,0,3,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
867,RN egresados con lactancia mixta al alta,13,113190,24311026,13,13401,8,0,0,1,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
868,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),13,113190,24311027,13,13401,2,0,0,0,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
869,RN egresados con madres serología positiva (VIH),13,113190,29101770,13,13401,0,1,0,0,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
870,Total de recién nacidos/as egresados/as,13,113190,24200134,13,13401,103,7,0,6,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
871,RN egresados con LME durante hospitalización y al alta,13,113190,24300103,13,13401,103,0,0,6,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
872,RN egresados con lactancia mixta al alta,13,113190,24311026,13,13401,2,0,0,0,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
873,Total de recién nacidos/as egresados/as,13,113190,24200134,13,13401,86,2,0,0,Servicio de Salud Metropolitano Sur,Hospital Parroquial de San Bernardo (D),San Bernardo
